,weekday,hour,region,count,total_amount_sum,duration_min,duration_sum,duration_max
0,0,0,1,244,5416.4,1,135440,86282
1,0,0,2,1274,15419.699999999997,1,620858,85963
2,0,0,3,2861,31611.129999999997,1,1170030,86154
3,0,0,4,640,7056.7300000000005,1,124788,2789
4,0,0,5,1008,9335.34,0,225276,3512
5,0,0,6,494,4548.070000000001,0,182611,86122
6,0,0,7,107,1580.5499999999997,3,20654,2291
7,0,1,1,157,3100.9100000000003,2,117880,86241
8,0,1,2,952,9695.440000000002,2,731797,86073
9,0,1,3,2186,26205.610000000008,1,810073,86200
10,0,1,4,397,4712.81,1,169137,84848
11,0,1,5,639,7221.749999999997,0,136536,5148
12,0,1,6,398,3781.730000000001,3,252351,86239
13,0,1,7,63,913.1099999999999,5,16788,1665
14,0,2,1,93,1559.5800000000002,2,104409,85582
15,0,2,2,749,7768.179999999997,0,254074,86148
16,0,2,3,1712,17772.36000000002,2,815013,84688
17,0,2,4,195,1818.3,8,40111,2575
18,0,2,5,406,3534.1099999999983,3,80287,2765
19,0,2,6,280,2701.899999999999,2,145649,76746
20,0,2,7,63,617.74,1,13582,1256
21,0,3,1,63,1264.1099999999997,2,104113,86244
22,0,3,2,638,5437.289999999996,1,145204,3127
23,0,3,3,1346,12172.960000000006,1,643581,86348
24,0,3,4,133,1296.8500000000001,3,27445,2863
25,0,3,5,330,2653.89,5,230570,82951
26,0,3,6,201,1720.9900000000005,2,46437,1796
27,0,3,7,42,466.03000000000003,2,8528,661
28,0,4,1,55,579.33,3,18815,2964
29,0,4,2,485,4036.3199999999983,2,362118,85749
30,0,4,3,1133,10911.12,1,331068,85457
31,0,4,4,120,1033.5400000000002,3,27338,2103
32,0,4,5,397,3547.0400000000013,3,74035,3800
33,0,4,6,201,1534.8,1,40928,2502
34,0,4,7,44,384.1,3,7634,494
35,0,5,1,129,1369.6899999999994,0,23253,1807
36,0,5,2,331,3749.2800000000007,0,246522,86226
37,0,5,3,1510,14742.130000000001,0,611065,85662
38,0,5,4,293,2257.5099999999998,2,53092,3309
39,0,5,5,863,5640.400000000001,1,230894,86277
40,0,5,6,221,1746.530000000001,3,46466,3817
41,0,5,7,43,520.1899999999999,4,9937,1376
42,0,6,1,405,3828.21,2,83941,1599
43,0,6,2,449,4975.750000000001,0,141058,62021
44,0,6,3,3534,28345.90999999997,1,762026,83278
45,0,6,4,700,6123.120000000002,2,311607,83216
46,0,6,5,2252,15894.169999999998,1,598981,84997
47,0,6,6,435,3923.89,2,147238,64664
48,0,6,7,71,784.9699999999999,2,13229,942
49,0,7,1,863,9429.230000000001,2,311795,3793
50,0,7,2,854,7191.2400000000025,2,210342,3985
51,0,7,3,6388,51456.90999999993,0,2504751,86380
52,0,7,4,1420,13005.910000000005,2,562601,86191
53,0,7,5,5691,42574.35999999993,1,2783795,86267
54,0,7,6,1305,9997.270000000002,2,769825,86097
55,0,7,7,96,1191.45,5,27711,1647
56,0,8,1,1382,11800.52,2,741462,86315
57,0,8,2,1312,11359.430000000002,1,475813,56875
58,0,8,3,8631,72091.63,1,3493011,86301
59,0,8,4,2671,20419.94999999999,2,998219,85999
60,0,8,5,8305,58232.61999999996,0,3382891,86308
61,0,8,6,1288,8913.060000000003,3,433146,85964
62,0,8,7,143,1217.3799999999999,6,45567,1364
63,0,9,1,1472,12686.960000000003,1,666634,86281
64,0,9,2,1446,11141.480000000005,2,441095,85346
65,0,9,3,8990,75941.01000000008,0,3977669,86331
66,0,9,4,2477,17571.370000000006,2,809685,86283
67,0,9,5,7276,49232.269999999895,2,2618050,86391
68,0,9,6,770,6656.130000000003,2,300514,86235
69,0,9,7,105,798.26,14,28574,1420
70,0,10,1,1055,9652.76,0,389082,5947
71,0,10,2,1372,11541.930000000004,1,662301,85706
72,0,10,3,7572,66679.25999999995,0,3349933,86061
73,0,10,4,3082,20803.979999999985,2,780598,3668
74,0,10,5,7206,48985.309999999896,0,2240803,86308
75,0,10,6,573,3983.8700000000013,4,380065,86166
76,0,10,7,43,266.37,35,11793,665
77,0,11,1,958,8260.750000000002,2,646398,86280
78,0,11,2,1383,10912.730000000005,1,487783,84857
79,0,11,3,7460,67907.23999999998,2,3241045,86159
80,0,11,4,3078,21224.82,2,903034,85390
81,0,11,5,7929,54002.87999999992,1,3165494,86170
82,0,11,6,587,3881.7900000000004,3,137405,1752
83,0,11,7,44,357.6300000000001,18,14715,1107
84,0,12,1,980,9511.010000000004,2,480329,83318
85,0,12,2,1536,12322.280000000004,1,852438,86322
86,0,12,3,7945,70397.37999999999,0,3056909,86119
87,0,12,4,3479,23648.259999999977,1,1316159,86342
88,0,12,5,8769,59331.96999999991,2,3154427,86290
89,0,12,6,626,4404.629999999999,2,229394,86083
90,0,12,7,74,682.5500000000002,2,19808,1408
91,0,13,1,941,10588.340000000002,1,297228,4587
92,0,13,2,1507,13685.15,1,407363,3644
93,0,13,3,7871,73283.23999999998,1,3615743,86152
94,0,13,4,3453,23324.969999999987,1,1059346,85475
95,0,13,5,8262,56378.289999999855,1,2700362,85812
96,0,13,6,705,5103.110000000002,0,163992,2132
97,0,13,7,73,623.1099999999999,3,19215,888
98,0,14,1,963,10011.660000000003,1,294274,3796
99,0,14,2,1516,13320.310000000003,2,458398,86014
100,0,14,3,8141,74637.78000000001,0,3622197,86316
101,0,14,4,4174,28501.479999999974,1,1245094,86203
102,0,14,5,9318,64521.83999999994,1,3276684,86199
103,0,14,6,758,5347.8600000000015,4,363320,86217
104,0,14,7,70,660.6899999999997,2,111819,85797
105,0,15,1,875,8291.25,1,506430,86098
106,0,15,2,1592,14990.890000000005,1,578109,86200
107,0,15,3,8067,78017.45000000007,0,3281507,86304
108,0,15,4,4252,30642.74999999996,1,1319012,86264
109,0,15,5,10078,70518.14000000001,1,3424748,86351
