VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,02/08/2018 06:47:38 AM,02/08/2018 07:16:01 AM,1,17.4,2,N,148,132,1,52,0,0.5,10.55,0,0.3,63.35
1,02/08/2018 06:35:15 AM,02/08/2018 06:45:53 AM,1,2.4,1,N,141,137,1,10,0,0.5,2.15,0,0.3,12.95
1,02/08/2018 06:51:31 AM,02/08/2018 07:03:27 AM,1,3.1,1,N,233,75,1,11.5,0,0.5,3,0,0.3,15.3
1,02/08/2018 06:01:44 AM,02/08/2018 06:18:05 AM,1,7.2,1,N,141,244,1,22,0,0.5,2.2,0,0.3,25
1,02/08/2018 06:38:02 AM,02/08/2018 06:57:05 AM,1,3.1,1,N,143,170,1,14.5,0,0.5,0,0,0.3,15.3
1,02/08/2018 06:31:14 AM,02/08/2018 07:19:41 AM,1,16.6,2,N,132,233,1,52,0,0.5,10,5.76,0.3,68.56
2,02/08/2018 06:14:58 AM,02/08/2018 06:25:11 AM,1,2.69,1,N,151,237,1,10.5,0,0.5,2.26,0,0.3,13.56
2,02/08/2018 06:31:30 AM,02/08/2018 06:39:07 AM,1,2.1,1,N,236,161,1,8.5,0,0.5,0.7,0,0.3,10
1,02/08/2018 06:19:39 AM,02/08/2018 06:47:56 AM,1,10.7,1,N,138,142,1,31.5,0,0.5,7.6,5.76,0.3,45.66
1,02/08/2018 06:50:10 AM,02/08/2018 07:02:17 AM,1,1.2,1,N,142,230,1,9.5,0,0.5,2.05,0,0.3,12.35
2,02/08/2018 06:21:44 AM,02/08/2018 06:33:11 AM,1,2.96,1,N,100,79,1,11,0,0.5,2.36,0,0.3,14.16
2,02/08/2018 06:43:16 AM,02/08/2018 06:45:43 AM,1,0.89,1,N,90,164,1,4.5,0,0.5,1.32,0,0.3,6.62
2,02/08/2018 06:50:59 AM,02/08/2018 07:00:20 AM,1,1.7,1,N,186,163,1,8.5,0,0.5,2.32,0,0.3,11.62
1,02/08/2018 06:59:03 AM,02/08/2018 07:03:26 AM,1,0.9,1,N,237,141,1,5.5,0,0.5,1.25,0,0.3,7.55
1,02/08/2018 06:06:40 AM,02/08/2018 06:31:06 AM,1,14.6,2,N,162,132,1,52,0,0.5,14.6,5.76,0.3,73.16
1,02/08/2018 06:56:41 AM,02/08/2018 07:58:38 AM,2,16.4,2,N,132,230,2,52,0,0.5,0,5.76,0.3,58.56
1,02/08/2018 06:18:56 AM,02/08/2018 06:32:40 AM,1,3,1,N,41,142,1,13,0,0.5,3.45,0,0.3,17.25
1,02/08/2018 06:42:30 AM,02/08/2018 06:46:29 AM,1,1.2,1,N,238,143,1,5.5,0,0.5,1,0,0.3,7.3
1,02/08/2018 06:50:37 AM,02/08/2018 06:56:11 AM,1,0.9,1,N,142,230,1,6,0,0.5,1,0,0.3,7.8
2,02/08/2018 06:36:09 AM,02/08/2018 07:25:01 AM,1,17.64,2,N,132,161,1,52,0,0.5,11.71,5.76,0.3,70.27
1,02/08/2018 06:09:23 AM,02/08/2018 06:20:50 AM,1,2.7,1,N,97,195,2,11.5,0,0.5,0,0,0.3,12.3
2,02/08/2018 06:21:07 AM,02/08/2018 06:23:59 AM,1,0,1,N,132,132,2,2.5,0,0.5,0,0,0.3,3.3
2,02/08/2018 06:00:42 AM,02/08/2018 06:05:06 AM,1,1.08,1,N,48,161,1,5.5,0,0.5,1.26,0,0.3,7.56
2,02/08/2018 06:26:05 AM,02/08/2018 06:29:04 AM,1,0.8,1,N,48,230,1,4.5,0,0.5,0.53,0,0.3,5.83
2,02/08/2018 06:36:09 AM,02/08/2018 06:44:05 AM,1,2.5,1,N,48,237,1,9.5,0,0.5,2.06,0,0.3,12.36
2,02/08/2018 06:45:51 AM,02/08/2018 06:47:26 AM,1,0.55,1,N,236,236,2,3.5,0,0.5,0,0,0.3,4.3
1,02/08/2018 06:57:03 AM,02/08/2018 07:10:49 AM,1,2,1,N,158,87,1,10.5,0,0.5,2.83,0,0.3,14.13
2,02/08/2018 06:32:24 AM,02/08/2018 06:37:46 AM,1,0.81,1,N,75,236,1,5.5,0,0.5,1,0,0.3,7.3
2,02/08/2018 06:45:08 AM,02/08/2018 06:48:58 AM,1,0.7,1,N,237,140,1,4.5,0,0.5,0,0,0.3,5.3
2,02/08/2018 06:55:16 AM,02/08/2018 07:08:59 AM,1,3.76,1,N,263,79,2,13,0,0.5,0,0,0.3,13.8
2,02/08/2018 06:05:30 AM,02/08/2018 06:10:08 AM,1,1.27,1,N,48,50,2,6,0,0.5,0,0,0.3,6.8
2,02/08/2018 06:29:19 AM,02/08/2018 06:40:46 AM,1,1.29,1,N,50,230,1,9,0,0.5,2.45,0,0.3,12.25
2,02/08/2018 06:44:24 AM,02/08/2018 06:48:31 AM,1,0.51,1,N,48,230,1,4.5,0,0.5,1.06,0,0.3,6.36
2,02/08/2018 06:51:40 AM,02/08/2018 06:54:48 AM,1,0.94,1,N,48,48,2,5,0,0.5,0,0,0.3,5.8
2,02/08/2018 06:12:36 AM,02/08/2018 06:20:47 AM,4,1.88,1,N,107,186,1,8,0,0.5,1.76,0,0.3,10.56
2,02/08/2018 06:28:17 AM,02/08/2018 06:45:16 AM,4,3.66,1,N,186,87,1,14.5,0,0.5,2.3,0,0.3,17.6
2,02/08/2018 06:52:42 AM,02/08/2018 07:09:02 AM,4,5.54,1,N,87,246,1,18.5,0,0.5,3.5,0,0.3,22.8
1,02/08/2018 06:23:32 AM,02/08/2018 06:29:49 AM,1,1,1,N,162,186,1,6,0,0.5,2,0,0.3,8.8
1,02/08/2018 06:31:43 AM,02/08/2018 06:40:16 AM,1,1,1,N,186,170,1,7,0,0.5,1,0,0.3,8.8
1,02/08/2018 06:57:16 AM,02/08/2018 07:01:08 AM,1,1,1,N,186,230,1,5,0,0.5,0.7,0,0.3,6.5
1,02/08/2018 06:28:06 AM,02/08/2018 06:33:19 AM,1,1.6,1,N,262,140,1,6.5,0,0.5,1.8,0,0.3,9.1
1,02/08/2018 06:46:55 AM,02/08/2018 06:56:42 AM,1,1.7,1,N,79,234,1,9,0,0.5,2.9,0,0.3,12.7
1,02/08/2018 06:59:46 AM,02/08/2018 07:50:15 AM,1,15.3,2,N,10,262,1,52,0,0.5,8.5,5.76,0.3,67.06
